expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
23,12/24/2020,faith_education,9341.82,Skynoodle,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,cash,true,Catriona McGiven
24,1/27/2020,retreats,6388.54,Yacero,volutpat erat quisque erat eros viverra,credit card,false,Vonni Bibby
25,2/24/2020,other,8700.95,Oyoyo,magna bibendum imperdiet nullam orci pede venenatis non sodales sed,credit card,false,Bourke McCritichie
26,2/29/2020,outreach,3245.97,Janyx,quis augue luctus tincidunt nulla mollis molestie lorem,credit card,false,Austin Parchment
27,1/8/2020,building_management,965.89,Livefish,in felis donec semper sapien a libero nam dui proin leo odio porttitor id,credit card,true,Adora Blanko
28,8/31/2020,utilities,9037.17,Muxo,habitasse platea dictumst maecenas ut,credit card,false,Merrel Denton
29,2/14/2020,student_leadership,1425.36,Topiczoom,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,cash,true,Pearl McTrusty
30,7/10/2020,outreach,7747.93,Pixonyx,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,credit card,true,Gwyn Choules
31,2/21/2020,faith_education,6796.61,Ozu,nunc viverra dapibus nulla suscipit ligula in lacus,check,true,Annabela Firebrace
32,3/8/2020,automobiles,8017.96,Tagcat,odio elementum eu interdum eu,check,false,Nikos Joselevitz
33,1/26/2020,outreach,7581.59,Oba,sem praesent id massa id nisl venenatis lacinia,check,true,Corina Dubery
34,2/22/2020,other,2577.89,Eamia,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,credit card,true,Guillemette Colliford
35,7/9/2020,faith_education,1771.37,Babbleset,aliquam erat volutpat in congue etiam justo,credit card,true,Wally Critzen
36,4/13/2020,other,6175.41,Dabvine,pede justo eu massa donec dapibus duis at velit eu est congue elementum,check,false,Mayer Benoit
37,3/25/2020,crm_expenses,8982.38,Gevee,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,check,true,Anderea Waby
38,9/18/2020,outreach,6591.51,Yata,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,check,false,Delphine Medlin
39,7/15/2020,faith_education,778.93,Feedbug,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,cash,true,Leanor Abbati
40,2/20/2020,retreats,5125.31,Flashdog,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,credit card,true,Danny Shade
41,10/26/2020,utilities,9361.99,Jaloo,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,check,true,Ellynn Killshaw
42,1/11/2020,outreach,2659.27,Flipopia,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,cash,true,Aretha Kosel
43,8/20/2020,building_management,8373.11,Yodoo,,credit card,false,Bellina Adne
44,10/21/2020,other,7518.29,Minyx,sem praesent id massa id nisl venenatis,cash,false,Taddeo Juszczak
45,2/23/2020,automobiles,2502.31,Buzzdog,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,credit card,true,Wyndham Greeding
46,12/15/2020,liturgy_music,9698.35,Gigabox,cras pellentesque volutpat dui maecenas tristique est et tempus,credit card,true,Elston Kidner
47,10/20/2020,student_leadership,9768.67,Skimia,lectus in est risus auctor,credit card,false,Frants Mackelworth
48,10/15/2020,student_leadership,1914.39,Eidel,dui vel nisl duis ac nibh fusce,credit card,true,Derek Arch
49,9/8/2020,student_leadership,2589.35,Nlounge,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,check,false,Glori Doring
50,6/26/2020,liturgy_music,2437.75,Yodo,aliquam sit amet diam in magna bibendum,cash,false,Karly Gormley
51,7/22/2020,comm_life,4445.04,Dynava,,cash,true,Doyle Crosswaite
52,12/22/2020,retreats,5280.93,Blogpad,pellentesque ultrices phasellus id sapien in,cash,false,Robinet Hedde
53,10/20/2020,office_administration,1793.9,Divape,justo sollicitudin ut suscipit a feugiat et eros vestibulum,credit card,false,Giacopo Shropsheir
54,12/24/2020,other,9760.41,Brainverse,sodales scelerisque mauris sit amet eros suspendisse,credit card,true,Abby Waywell
55,10/20/2020,social_justice,6151.66,Rhyloo,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,cash,false,Cinnamon Roz
56,1/27/2020,other,5704.47,Layo,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,credit card,true,Cilka Putson
57,9/26/2020,social_justice,8991.87,Babbleopia,varius nulla facilisi cras non velit,check,false,Nissa Pennetti
58,11/7/2020,faith_education,6766.29,Blogpad,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,credit card,false,Jeff Sheavills
59,6/4/2020,automobiles,4153.69,Cogilith,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,check,false,Lauraine Mounsie
60,6/3/2020,social_justice,2850.9,Gabtune,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,credit card,true,Moss Dimitru
61,2/2/2020,faith_education,3626.57,Jaloo,in magna bibendum imperdiet nullam,cash,true,Basia Honeyghan
62,11/18/2020,outreach,1251.96,Mynte,ut ultrices vel augue vestibulum ante ipsum primis in faucibus,credit card,false,Antonie Coffin
63,8/12/2020,other,3850.53,Zoomzone,,cash,true,Annamarie Urlich
64,10/15/2020,liturgy_music,7089.16,Voonder,vivamus vestibulum sagittis sapien cum sociis natoque penatibus,cash,false,Celle Siviour
65,8/26/2020,retreats,9307.01,Quatz,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,credit card,false,Floria Corday
66,2/20/2020,faith_education,7935.94,Buzzbean,sed accumsan felis ut at dolor quis,cash,false,Bailie Webburn
67,11/1/2020,utilities,9507.81,Thoughtblab,blandit mi in porttitor pede justo eu massa donec,check,false,Denna Ribeiro
68,2/1/2020,office_administration,7439.41,Snaptags,,cash,true,Lothaire Kevis
69,12/16/2020,student_leadership,9089.39,Kare,porta volutpat erat quisque erat eros viverra eget congue,credit card,false,Carlene Synnot
70,8/28/2020,utilities,8589.27,Yombu,ut tellus nulla ut erat,check,false,Vanny Hammerman
71,7/4/2020,automobiles,924.45,Npath,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,cash,false,Trstram Cater
72,1/18/2020,office_administration,9995.28,Oyoba,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,credit card,false,Johnnie Franseco
73,7/1/2020,other,7547.67,Riffpedia,nec sem duis aliquam convallis nunc proin at,credit card,false,Paule Feake
74,4/2/2020,office_administration,292.36,Jetwire,integer non velit donec diam neque vestibulum eget vulputate ut,cash,true,Annis Mazonowicz
75,10/20/2020,office_administration,6442.54,Eimbee,,credit card,false,Jonathon Henaughan
76,4/1/2020,other,8349.73,Skinder,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,check,false,Theodora Pardie
77,9/6/2020,comm_life,6794.47,Tazzy,justo lacinia eget tincidunt eget tempus vel,cash,true,Loralee Rennard
78,9/29/2020,utilities,4760.69,Jaxworks,aliquam lacus morbi quis tortor id nulla,credit card,false,Benetta Featherstonehaugh
79,3/20/2020,utilities,4047.09,Cogidoo,,credit card,false,Sasha Casarili
80,6/20/2020,faith_education,2830.3,Cogilith,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,credit card,true,Derron Southcoat
81,8/2/2020,retreats,9248.3,Gabtype,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,cash,true,Papageno Ivasyushkin
82,7/20/2020,building_management,5497.04,Thoughtmix,lacinia sapien quis libero nullam sit amet turpis,cash,false,Teador Pratchett
83,2/1/2020,faith_education,7149.73,Myworks,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,credit card,true,Stacie Maureen
84,10/14/2020,building_management,7765.05,Divape,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,credit card,true,Mellisa Sneezum
85,6/7/2020,automobiles,8188.43,Mydeo,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,cash,false,Bradney Gaber
86,5/20/2020,automobiles,6895.7,Izio,,cash,false,Joete Broske
87,9/22/2020,faith_education,4717.92,Babblestorm,dui maecenas tristique est et tempus semper est quam,cash,true,Darby Cosgrove
88,6/25/2020,student_leadership,5074.15,Linkbridge,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,check,false,Fanechka Critchard
89,5/31/2020,retreats,2395.36,Thoughtmix,,cash,false,Fleurette Lucas
90,1/6/2020,outreach,4732.12,Quire,eu est congue elementum in hac habitasse platea dictumst morbi,cash,false,Pattie Siddall
91,10/31/2020,faith_education,9834.45,Tanoodle,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,credit card,true,Helga Vezey
92,7/10/2020,student_leadership,9328.97,Twinte,vulputate vitae nisl aenean lectus,check,false,Osbert Toor
93,3/9/2020,outreach,3995.29,LiveZ,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,cash,false,Antonietta Shayler
94,2/10/2020,other,8533.51,Kayveo,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,cash,false,Colet Livens
95,6/26/2020,liturgy_music,3490.2,Rhyloo,,credit card,false,Olly Fawltey
96,5/10/2020,utilities,391.99,Flashdog,ultricies eu nibh quisque id justo sit amet sapien dignissim,credit card,false,Joan Rathe
97,2/9/2020,building_management,5003.29,Trunyx,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,check,true,Laetitia Gibbon
98,2/22/2020,other,3140.66,Tagcat,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,check,true,Merna Kittredge
99,4/15/2020,student_leadership,8828.41,Flipstorm,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,check,true,Hedwiga Roj
100,3/22/2020,building_management,7709.95,Gabvine,phasellus in felis donec semper,cash,false,Carmine Preddle
101,9/19/2020,comm_life,3001.96,Wordpedia,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,cash,true,Tobit Shrigley
102,9/22/2020,utilities,9869.17,Thoughtworks,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,credit card,false,Norene Hitter
103,11/21/2020,liturgy_music,2383.52,Flashpoint,tempus sit amet sem fusce,check,true,Ilario Colliar
104,3/9/2020,automobiles,6993.64,Devbug,in faucibus orci luctus et ultrices,check,true,Ellette Worsell
105,1/8/2020,social_justice,2005.97,Voolith,viverra pede ac diam cras pellentesque volutpat dui maecenas,check,true,Arri Shepperd
106,12/17/2020,faith_education,383.21,Youspan,vivamus in felis eu sapien cursus,cash,true,Milicent Sutheran
107,11/3/2020,faith_education,157.01,Twitterlist,suspendisse potenti in eleifend quam a odio in,check,true,Xaviera Deavall
108,3/2/2020,building_management,9859.34,Cogidoo,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,cash,true,Yardley Prince
109,8/21/2020,liturgy_music,1468.97,Skipstorm,ultrices posuere cubilia curae nulla,check,true,Nickie MacKellar
110,11/23/2020,faith_education,9111.95,Skiba,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,cash,false,Raphael Bushill
111,6/28/2020,outreach,21.76,Tagopia,,cash,true,Gennie Pendre
112,5/10/2020,building_management,1083.24,Oyoyo,eget rutrum at lorem integer tincidunt ante vel,credit card,false,Geri Sandwith
113,10/19/2020,crm_expenses,1438.41,Tekfly,,credit card,false,Hans Yeoland
114,12/23/2020,student_leadership,8174.82,Meevee,diam neque vestibulum eget vulputate ut,check,true,Emelda Pedroli
115,2/7/2020,outreach,2788.16,Demimbu,posuere cubilia curae mauris viverra diam,check,false,Mathilda Arnason
116,3/7/2020,building_management,7494.96,Flipstorm,donec odio justo sollicitudin ut suscipit a,credit card,true,Beauregard Heddy
117,5/9/2020,other,8463.9,Leexo,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,credit card,true,Gale Benting
118,10/1/2020,crm_expenses,7232.55,Fivebridge,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,cash,false,Davidson Scoles
119,1/23/2020,social_justice,588.52,Skipstorm,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,cash,true,Robbyn Rickardsson
120,12/9/2020,crm_expenses,4312.88,Npath,aliquam augue quam sollicitudin vitae consectetuer eget,credit card,false,Tadeas Pettersen
121,11/22/2020,outreach,9058.42,Browsezoom,aliquet ultrices erat tortor sollicitudin mi sit amet,check,true,Magdalena Sarsons
122,1/21/2020,utilities,7409.75,Jaloo,nisl duis bibendum felis sed,credit card,false,Patrizia Olenchikov
123,5/1/2020,building_management,4855.37,Brainverse,,credit card,false,Henryetta Wheatland
124,11/16/2020,other,4746.6,Oyoloo,in felis donec semper sapien a libero nam dui proin,check,false,Porty Saberton
125,12/1/2020,liturgy_music,7420.07,Dynava,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,credit card,false,Melvyn Josum
126,4/30/2020,utilities,5104.94,Jabberbean,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,cash,true,Arch Petto
127,7/30/2020,other,1663.77,Zoomcast,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,check,true,Andie Fritzer
128,11/25/2020,student_leadership,7020.47,Skinte,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,credit card,true,Kendall Amiable
129,3/4/2020,student_leadership,8535.39,Blogspan,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,cash,false,Everett O'Shea
130,1/24/2020,liturgy_music,5932.84,Fliptune,,credit card,true,Don Niave
131,10/2/2020,automobiles,8910.56,Zoomdog,,check,false,Kermy Fernihough
132,6/10/2020,crm_expenses,4949.99,Yacero,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,credit card,true,Iosep Cancott
133,12/20/2020,faith_education,9909.31,JumpXS,venenatis lacinia aenean sit amet justo morbi ut,cash,false,Hermon O'Crigan
134,5/14/2020,building_management,3017.6,Camimbo,ligula suspendisse ornare consequat lectus in est,check,false,Carlotta Ropert
135,5/26/2020,student_leadership,6378.86,InnoZ,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,cash,false,Pascal Bavridge
136,7/15/2020,student_leadership,8336.44,Viva,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,check,true,Layney Smalcombe
137,6/20/2020,outreach,4130.42,Yabox,nunc proin at turpis a pede posuere nonummy integer non,check,false,Carter Hargerie
138,12/29/2020,student_leadership,5211.02,Zooveo,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,check,false,Christalle Godard
139,3/24/2020,building_management,3816.12,Browsecat,massa donec dapibus duis at,cash,false,Jenilee Hairsnape
140,12/9/2020,utilities,425.59,Tagtune,nunc rhoncus dui vel sem sed sagittis nam congue risus semper,cash,false,Cassaundra Jelf
141,9/16/2020,other,8155.43,Jaxworks,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,cash,false,Wernher Shortt
142,6/30/2020,crm_expenses,9078.54,Rhybox,,check,false,Christophorus Barhem
143,12/12/2020,student_leadership,4825.3,Mudo,nibh quisque id justo sit amet sapien,check,true,Mair Benedit
144,7/27/2020,social_justice,4803.43,Eidel,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,credit card,false,Alla Gloster
145,1/9/2020,faith_education,6170.3,Aimbo,eget eleifend luctus ultricies eu nibh quisque id justo,credit card,true,Jourdain Wanklin
146,3/22/2020,outreach,883.74,Zooveo,et tempus semper est quam pharetra magna ac consequat metus sapien,check,false,Ernest Woolaston
147,10/16/2020,social_justice,4688.66,Tagopia,magna ac consequat metus sapien ut nunc,check,true,Lockwood Glozman
148,4/24/2020,other,817.55,Linkbuzz,congue elementum in hac habitasse platea,cash,true,Rozina Necolds
149,4/22/2020,office_administration,2322.97,Meejo,in est risus auctor sed tristique in,credit card,true,Brooke Kubiak
150,7/17/2020,faith_education,5433.49,Eare,felis ut at dolor quis odio consequat varius integer ac leo,cash,false,Yuri Bonnell
151,9/14/2020,retreats,5104.63,Eare,amet sem fusce consequat nulla nisl nunc nisl duis,cash,false,Analise Rainbird
152,5/16/2020,crm_expenses,3481.1,Ainyx,in quis justo maecenas rhoncus aliquam lacus,credit card,true,Wyatt Akeherst
153,3/5/2020,automobiles,9156.32,Meevee,tellus semper interdum mauris ullamcorper purus,cash,false,Janetta St. Aubyn
154,7/3/2020,retreats,1544.17,Skinte,eget orci vehicula condimentum curabitur in libero ut massa volutpat,cash,false,Willamina Gamwell
155,11/10/2020,liturgy_music,4757.18,Rooxo,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,cash,false,Austin Eckh
156,11/17/2020,social_justice,4341.54,Skivee,nam dui proin leo odio porttitor id consequat,cash,false,Bondon Sanpere
157,7/17/2020,other,3948.99,Eayo,diam neque vestibulum eget vulputate ut ultrices,check,true,Dulsea Paradis
158,10/18/2020,building_management,3444.35,Centidel,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,cash,false,Aprilette Shuttlewood
159,11/28/2020,utilities,8858.38,Realblab,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,check,false,Lesley Westbury
160,6/3/2020,utilities,2882.73,Wordpedia,,cash,true,Mitchael Feragh
161,6/28/2020,social_justice,3135.67,Shuffletag,,check,true,Sansone Sandeland
162,8/21/2020,social_justice,1901.04,Yodel,diam erat fermentum justo nec condimentum neque sapien,check,true,Jozef Loffhead
163,5/29/2020,retreats,9738.76,Quamba,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,cash,true,Lorene Amsden
164,10/9/2020,student_leadership,8654.13,Quimm,,check,false,Stanley Breffitt
165,10/13/2020,other,6101.97,Fiveclub,orci eget orci vehicula condimentum curabitur in libero ut massa,cash,false,Perkin Westbury
166,2/13/2020,utilities,8241.85,Dabtype,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,cash,false,Barrett Jedrzejczak
167,2/10/2020,building_management,2141.18,Skidoo,metus aenean fermentum donec ut mauris eget massa tempor,cash,true,Lukas Leate
168,7/16/2020,utilities,9363.0,Kwilith,,cash,true,Alex Brose
169,3/27/2020,retreats,6967.14,Jayo,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,cash,true,Nance Le Guin
170,8/17/2020,liturgy_music,5151.19,Mymm,donec vitae nisi nam ultrices libero non mattis pulvinar nulla,credit card,false,Hersch Brocklehurst
171,1/8/2020,crm_expenses,5213.0,Realcube,et tempus semper est quam pharetra magna ac consequat metus sapien ut,check,true,Kerk Ludy
172,11/23/2020,comm_life,5755.43,Youopia,ridiculus mus vivamus vestibulum sagittis,credit card,false,Nathalie Heinssen
173,9/7/2020,comm_life,700.79,Eare,vel lectus in quam fringilla,check,false,Thain Emeney
174,4/22/2020,crm_expenses,641.72,Linkbuzz,in blandit ultrices enim lorem ipsum dolor sit,credit card,false,Car Round
175,8/15/2020,social_justice,6047.82,Tagfeed,ac tellus semper interdum mauris ullamcorper purus sit,credit card,false,Emlynne Lande
176,5/21/2020,comm_life,6922.11,Wordpedia,,check,true,Geno Crosi
177,9/3/2020,student_leadership,569.29,Brainlounge,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,check,false,Corny Duferie
178,6/16/2020,office_administration,9927.8,Skivee,quis lectus suspendisse potenti in eleifend quam a odio,cash,true,Bartlet Farrens
179,9/25/2020,crm_expenses,3954.64,Livetube,maecenas leo odio condimentum id,check,true,Padraig Vicioso
180,6/8/2020,crm_expenses,1354.51,Feedbug,,credit card,false,Micky Scottrell
181,9/27/2020,outreach,8177.68,Livefish,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,check,false,Aigneis Jiri
182,12/1/2020,comm_life,3063.85,InnoZ,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,check,false,Carolyne Batchellor
183,4/15/2020,other,9200.2,Camimbo,in magna bibendum imperdiet nullam orci pede venenatis,credit card,true,Lindi Scadden
184,5/11/2020,outreach,1024.54,Topdrive,consequat dui nec nisi volutpat eleifend donec ut dolor morbi,credit card,false,Hersh Ellsbury
185,5/7/2020,social_justice,4913.2,Youtags,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,credit card,false,Emanuel Shepstone
186,11/11/2020,faith_education,2982.11,Wikibox,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,check,true,Ashlin Weems
187,4/13/2020,liturgy_music,3725.26,Blogspan,eros suspendisse accumsan tortor quis turpis,check,true,Minerva Fullman
188,7/18/2020,utilities,881.3,Rhynyx,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,credit card,true,Clifford Tribe
189,7/30/2020,office_administration,768.53,Rhycero,,check,true,Felipe Kidney
190,6/26/2020,other,8630.53,Quamba,elementum pellentesque quisque porta volutpat erat quisque erat eros,check,true,Dreddy Arrighi
191,8/12/2020,crm_expenses,6339.72,Divanoodle,pede venenatis non sodales sed tincidunt eu,cash,true,Doe McNelly
192,2/4/2020,utilities,2123.58,Midel,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,cash,false,Egon Garratty
193,12/23/2020,other,910.1,Yacero,mauris lacinia sapien quis libero nullam sit amet turpis,check,true,Ferd Harhoff
194,4/5/2020,outreach,3225.48,Innotype,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,check,true,Consuelo O' Donohoe
195,8/7/2020,other,2194.82,Voolith,nullam porttitor lacus at turpis donec posuere metus vitae,credit card,true,Melina Cordon
196,11/12/2020,crm_expenses,4479.21,Meevee,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,cash,true,Marten Cammidge
197,10/29/2020,crm_expenses,7666.67,Jabberstorm,morbi ut odio cras mi pede malesuada in,cash,true,Lenora Garfield
198,7/18/2020,student_leadership,6365.07,Layo,curae duis faucibus accumsan odio,check,false,Freddie Brophy
199,1/26/2020,automobiles,1324.55,Zoomlounge,,check,true,Guglielma Petheridge
200,3/21/2020,comm_life,8462.51,Browsecat,vestibulum ac est lacinia nisi venenatis tristique fusce,cash,true,Man Samter
201,5/2/2020,social_justice,3848.58,Aivee,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,check,false,Cynthea Salzen
202,7/3/2020,retreats,4323.39,Ailane,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,cash,true,Wynn Blackall
203,4/9/2020,comm_life,6252.08,Tekfly,vel sem sed sagittis nam,check,false,Mignon Fowlestone
204,9/3/2020,comm_life,7127.23,Rooxo,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,cash,false,Britteny Dominick
205,9/2/2020,outreach,4344.79,Jetwire,tincidunt eget tempus vel pede morbi porttitor,cash,false,Tristam Krebs
206,6/20/2020,outreach,169.38,Camimbo,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,credit card,true,Nerita Piggens
207,12/18/2020,office_administration,4597.48,Tazzy,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,check,false,Verna Nussii
208,1/19/2020,faith_education,8530.2,Fivebridge,in faucibus orci luctus et ultrices posuere cubilia curae,cash,false,Shirley Hebson
209,12/20/2020,faith_education,4672.52,Browseblab,ut rhoncus aliquet pulvinar sed nisl,credit card,false,Charmain Matantsev
210,10/4/2020,comm_life,2666.3,Yakitri,,cash,true,Parsifal Flaonier
211,12/1/2020,liturgy_music,1862.7,Ailane,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,cash,false,Keenan Edgeworth
212,1/20/2020,faith_education,5466.18,Leenti,primis in faucibus orci luctus et ultrices posuere,credit card,false,Rad Sitford
213,1/31/2020,crm_expenses,8698.06,Flashdog,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,cash,true,Vere Camm
214,4/5/2020,automobiles,8221.05,Demivee,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,credit card,false,Eustace Swithenby
215,10/25/2020,other,2522.44,Thoughtmix,,check,false,Darill Pottery
216,8/6/2020,building_management,8382.89,Agimba,felis donec semper sapien a libero,check,false,Rosene Mc Dermid
217,6/13/2020,building_management,8109.3,JumpXS,est phasellus sit amet erat nulla tempus vivamus in felis,credit card,true,Amity Goude
218,3/25/2020,building_management,4119.41,Kwimbee,,check,true,Jefferson Besset
219,7/24/2020,liturgy_music,5034.75,Devcast,donec semper sapien a libero nam dui,credit card,true,Othelia Revie
220,12/19/2020,automobiles,4057.97,Yozio,dui luctus rutrum nulla tellus in sagittis dui vel,check,false,Sande MacBean
